SpT,PS1gmag,e_PS1gmag,PS1rmag,PS1imag,e_PS1imag,PS1zmag,e_PS1zmag,PS1ymag,e_PS1ymag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,label
K5,9.81,,8.701,8.22,,7.934,,7.754,,6.547,0.019,5.837,0.055,5.645,0.02,5.559,0.152,5.63,0.045,5.607,0.015,5.486,0.037,false
A0V,8.93,,9.097,9.26,,9.362,,9.446,,8.804,0.032,8.797,0.027,8.767,0.024,8.727,0.023,8.751,0.02,8.772,0.027,8.7,0.458,false
A0V,9.082,0.1072,8.7732,9.3641,0.1519,9.6165,0.0028,9.3197,0.244,8.804,0.032,8.797,0.027,8.767,0.024,8.727,0.023,8.751,0.02,8.772,0.027,8.7,0.458,false
K5(III),10.163,,8.935,8.371,,8.036,,7.823,,6.588,0.02,5.777,0.027,5.552,0.026,5.511,0.152,5.521,0.053,5.501,0.014,5.39,0.04,false
F3/5V,10.241,,10.088,10.038,,9.972,,9.986,,9.246,0.044,9.045,0.025,8.976,0.021,8.954,0.023,8.962,0.021,8.94,0.028,8.565,,false
G8/K0III/IV,10.074,,9.395,9.13,,8.994,,8.913,,7.879,0.021,7.392,0.046,7.303,0.029,7.177,0.037,7.322,0.02,7.244,0.017,7.273,0.107,false
M4/5,14.5316,0.0052,13.368,12.93,,12.458,,12.1552,0.0106,10.832,0.021,9.995,0.022,9.78,0.023,9.716,0.023,9.834,0.02,9.613,0.043,8.705,,false
K2III,9.154,,8.227,7.842,,7.623,,7.48,,6.385,0.019,5.768,0.036,5.551,0.017,5.607,0.126,5.447,0.055,5.516,0.015,5.453,0.036,false
M7V,26.402,,21.4284,19.4458,0.0131,18.508,0.006,18.0262,0.0126,16.564,0.142,15.797,0.15,15.434,0.168,15.493,0.039,15.318,0.087,12.29,,9.025,,false
M7V,21.8516,0.0887,20.4258,18.2586,0.0028,17.2902,0.0037,16.7952,0.0097,15.416,0.044,14.858,0.07,14.534,0.075,14.376,0.029,14.132,0.038,12.604,,9.203,,false
K5,10.345,,9.255,8.734,,8.401,,8.22,,7.001,0.021,6.304,0.017,6.138,0.018,6.044,0.109,6.079,0.036,6.085,0.015,6.057,0.053,false
K5,10.081,,8.795,8.194,,7.814,,7.59,,6.298,0.021,5.581,0.051,5.277,0.021,5.234,0.187,5.17,0.062,5.253,0.015,5.155,0.038,false
K0,10.729,,9.996,9.715,,9.569,,9.475,,8.43,0.027,7.904,0.034,7.78,0.018,7.69,0.028,7.803,0.019,7.743,0.02,7.529,0.177,false
G5,9.553,,8.642,8.241,,8.003,,7.863,,6.732,0.023,6.109,0.02,5.969,0.02,6.008,0.107,5.983,0.042,5.961,0.017,5.899,0.053,false
A2,9.6992,0.0099,10.1311,9.9239,0.0808,10.2199,0.0491,10.7095,0.0517,9.451,0.022,9.42,0.026,9.399,0.025,9.364,0.023,9.394,0.02,9.428,0.038,8.565,0.378,false
A2,11.3591,0.001,10.4093,9.7084,0.0102,11.0544,0.001,10.4868,0.001,9.451,0.022,9.42,0.026,9.399,0.025,9.364,0.023,9.394,0.02,9.428,0.038,8.565,0.378,false
A2,9.673,,9.81,9.958,,10.064,,10.107,,9.451,0.022,9.42,0.026,9.399,0.025,9.364,0.023,9.394,0.02,9.428,0.038,8.565,0.378,false
G0,9.3047,0.0012,9.389,8.812,0.044,8.8147,0.1391,8.8856,0.0107,7.962,0.02,7.734,0.046,7.703,0.018,7.619,0.03,7.677,0.02,7.668,0.019,7.589,0.154,false
G0,9.024,,8.795,8.751,,8.769,,8.788,,7.962,0.02,7.734,0.046,7.703,0.018,7.619,0.03,7.677,0.02,7.668,0.019,7.589,0.154,false
F8,9.904,,9.63,9.538,,9.505,,9.498,,8.648,0.027,8.443,0.03,8.356,0.025,8.322,0.023,8.368,0.02,8.362,0.022,8.757,0.393,false
F8,10.5809,0.0745,11.417,9.8068,0.1022,10.6037,0.2839,10.409,0.0569,9.197,0.022,8.931,0.029,8.88,0.024,8.842,0.023,8.854,0.019,8.868,0.038,8.337,0.409,false
F8,12.4729,0.0019,10.2553,10.5919,0.2011,10.1319,0.0415,10.2445,0.0598,9.366,0.022,9.078,0.029,9.058,0.025,8.99,0.022,9.048,0.02,8.994,0.03,8.533,0.45,false
M3V,19.5036,0.0126,18.3149,17.1407,0.008,16.631,0.0038,16.3648,0.0084,15.188,0.041,14.561,0.043,14.448,0.06,14.182,0.027,14.066,0.044,11.977,,8.542,,false
M3V,18.2945,0.0082,17.0848,15.9856,0.0037,15.4585,0.0026,15.2055,0.003,14.035,0.024,13.264,0.023,13.068,0.024,12.983,0.024,12.861,0.028,12.321,,8.976,,false
F0,7.584,,7.567,7.643,,7.73,,7.769,,7.045,0.023,6.943,0.024,6.932,0.033,6.827,0.062,6.881,0.018,6.92,0.017,6.976,0.109,false
M7V,21.9211,0.1555,20.5136,18.4507,0.0079,17.4912,0.0077,16.9926,0.024,15.569,0.047,15.014,0.057,14.636,0.074,14.506,0.03,14.216,0.046,12.386,,8.767,,false
G6/8IV,9.696,,8.887,8.581,,8.425,,8.312,,7.242,0.018,6.675,0.023,6.526,0.016,6.353,0.054,6.38,0.021,6.32,0.015,6.198,0.047,false
G6/8IV,10.2094,0.001,8.8868,8.4277,0.1251,8.2506,0.066,7.566,0.0749,7.242,0.018,6.675,0.023,6.526,0.016,6.353,0.054,6.38,0.021,6.32,0.015,6.198,0.047,false
B5V,9.829,,10.185,10.475,,10.689,,10.845,,10.296,0.019,10.363,0.018,10.395,0.019,10.429,0.023,10.467,0.02,10.443,0.053,9.509,,false
B5V,10.1421,0.0431,10.3412,12.3523,0.229,11.9977,0.001,10.8772,0.0657,10.296,0.019,10.363,0.018,10.395,0.019,10.429,0.023,10.467,0.02,10.443,0.053,9.509,,false
B5V,10.4066,0.228,11.3478,10.6316,0.018,11.9859,,10.6496,0.0234,10.296,0.019,10.363,0.018,10.395,0.019,10.429,0.023,10.467,0.02,10.443,0.053,9.509,,false
F5,9.7312,0.0081,9.813,9.6984,0.0067,9.7509,0.036,9.7536,0.0355,8.709,0.032,8.51,0.042,8.416,0.026,8.373,0.023,8.4,0.02,8.385,0.02,8.441,0.194,false
F5,9.88,,9.626,9.548,,9.534,,9.536,,8.709,0.032,8.51,0.042,8.416,0.026,8.373,0.023,8.4,0.02,8.385,0.02,8.441,0.194,false
K5,9.17,,8.451,8.204,,8.095,,8.005,,6.976,0.023,6.398,0.02,6.297,0.021,6.236,0.09,6.216,0.025,6.247,0.015,6.21,0.04,false
K0,11.9446,0.001,9.736,9.4259,0.0923,11.0694,0.2047,11.2321,0.0404,7.95,0.018,7.273,0.029,7.143,0.023,6.983,0.051,7.162,0.02,7.036,0.016,6.921,0.077,false
K0,10.685,,9.755,9.394,,9.203,,9.064,,7.95,0.018,7.273,0.029,7.143,0.023,6.983,0.051,7.162,0.02,7.036,0.016,6.921,0.077,false
K0/1(III),10.465,,9.637,9.274,,9.059,,8.942,,7.846,0.023,7.279,0.04,7.132,0.038,7.071,0.032,7.197,0.02,7.103,0.016,7.054,0.111,false
K0/1(III),10.5097,0.0197,8.8684,9.5692,0.0491,9.335,0.0049,9.0898,0.2238,7.846,0.023,7.279,0.04,7.132,0.038,7.071,0.032,7.197,0.02,7.103,0.016,7.054,0.111,false
F3V,10.119,,9.873,9.821,,9.842,,9.859,,9.043,0.024,8.812,0.047,8.731,0.023,8.713,0.023,8.734,0.019,8.727,0.028,8.598,,false
K0III,6.237,,5.624,5.421,,5.342,,5.275,,4.312,0.262,3.683,0.21,3.679,0.264,3.439,0.316,3.192,0.226,3.439,0.01,3.382,0.023,false
K3V,11.265,,10.512,10.178,,9.984,,9.885,,8.825,0.026,8.324,0.057,8.198,0.021,8.139,0.022,8.186,0.021,8.127,0.02,8.06,0.203,false
B9IV/V,5.506,,5.748,5.96,,6.105,,6.218,,5.598,0.024,5.692,0.038,5.634,0.027,5.631,0.108,5.46,0.027,5.655,0.016,5.449,0.035,false
G8III/IV,10.017,,9.027,7.981,,7.51,,7.217,,6.025,0.021,5.489,0.036,5.375,0.017,5.315,0.176,5.262,0.056,5.362,0.016,5.315,0.038,false
M0V,18.8952,0.0196,17.832,17.3113,0.0044,17.0652,0.0105,16.9241,0.0062,15.881,0.09,15.191,0.099,15.021,0.162,14.996,0.036,15.115,0.084,12.406,,8.913,,false
M1V,20.2536,0.0242,19.0806,18.3233,0.003,17.9818,0.0072,17.8,0.0141,16.612,0.16,15.746,0.168,15.878,,15.65,0.045,15.637,0.13,12.465,,8.37,,false
C-H,14.3085,0.001,13.5181,13.237,,13.0867,0.0042,13.0474,0.0025,11.881,0.024,11.376,0.025,11.252,0.021,11.132,0.023,11.242,0.021,11.097,0.14,8.84,0.501,false
M2V,20.9372,0.0239,19.6726,18.6837,0.005,18.2372,0.009,17.9872,0.018,16.725,0.127,16.364,0.206,16.052,,15.921,0.046,15.494,0.093,12.623,,8.779,,false
F,15.7175,0.0024,15.4775,15.4343,0.0023,15.4408,0.0032,15.4133,0.0016,14.71,0.036,14.41,0.056,14.299,0.054,14.319,0.028,14.266,0.05,12.608,,8.914,,false
M7V,21.9759,0.1409,21.311,19.2634,0.0082,18.3559,0.0089,17.8605,0.0111,16.534,0.184,15.68,0.198,15.671,0.299,15.532,0.046,15.463,0.112,12.281,,8.867,,false
M7V,22.016,0.3141,21.1176,18.9889,0.012,17.9857,0.0059,17.487,0.0083,16.172,0.082,15.364,0.101,15.123,0.114,15.084,0.038,14.809,0.069,12.622,,9.012,,false
F3IV/V,9.581,,9.399,9.378,,9.411,,9.437,,8.64,0.021,8.509,0.04,8.402,0.018,8.378,0.022,8.402,0.02,8.386,0.023,8.96,0.413,false
M6V,21.568,0.0893,20.2668,18.3385,0.006,17.4521,0.0049,16.9908,0.0065,15.562,0.061,14.938,0.077,14.738,0.08,14.511,0.028,14.303,0.042,12.514,,8.67,,false
DA+M,17.6488,0.0038,16.8403,15.9532,0.0016,15.5313,0.0037,15.3331,0.0057,14.175,0.028,13.543,0.035,13.332,0.033,13.212,0.023,13.127,0.028,12.097,0.356,9.11,,false
K0,8.922,0.0222,9.3427,7.9275,0.1957,8.0556,1.0E-4,6.7266,0.2233,6.715,0.026,6.296,0.029,6.222,0.024,6.144,0.105,6.105,0.026,6.19,0.016,6.112,0.047,false
M7V,21.842,0.1825,21.1214,19.1392,0.0106,18.235,0.0068,17.7712,0.0113,16.306,0.096,16.059,0.214,15.299,0.133,15.31,0.034,15.228,0.076,12.486,,8.587,,false
F8,11.807,,11.477,11.383,,11.369,,11.369,,10.498,0.018,10.199,0.015,10.162,0.019,10.123,0.024,10.164,0.021,10.168,0.066,8.822,,false
C-H,15.6538,0.003,14.8856,14.6591,0.002,14.5592,0.0012,14.5134,0.0032,13.501,0.023,12.992,0.022,12.925,0.025,12.836,0.024,12.883,0.027,12.305,,8.902,,false
DB2,15.6236,0.0039,15.9231,16.1946,0.0023,16.4286,0.0053,16.6035,0.0049,15.989,0.108,16.204,0.18,15.337,,16.63,0.092,16.298,0.238,12.555,,8.837,,false
M7V,17.611,,21.5315,19.3194,0.0011,18.3358,0.007,17.9017,0.0262,16.337,0.132,16.193,0.181,15.683,,15.257,0.038,14.817,0.066,12.689,,8.894,,false
M3V,19.4597,0.0697,18.0803,16.9256,0.0245,16.4092,0.0158,15.9949,0.0112,14.538,0.044,13.913,0.051,13.739,0.05,13.425,0.025,13.254,0.031,12.322,,8.592,,false
M5V,20.4602,0.0152,19.1519,17.5829,0.0049,16.873,0.0038,16.5373,0.0063,15.313,0.044,14.746,0.061,14.374,0.062,14.221,0.028,13.955,0.042,12.044,,8.258,,false
M2V,19.0675,0.0082,17.8283,16.8554,0.0135,16.4063,0.0086,16.1902,0.008,14.984,0.036,14.426,0.047,14.144,0.056,14.019,0.028,13.79,0.038,11.702,,8.203,,false
M8V,22.743,,20.913,20.3941,0.0462,19.0635,0.0256,18.352,0.0227,16.698,0.155,15.983,0.203,15.519,0.196,15.599,0.048,15.383,0.112,12.588,,8.248,,false
A3,9.512,,9.477,9.543,,9.637,,9.685,,8.951,0.022,8.826,0.046,8.817,0.023,8.761,0.023,8.797,0.02,8.75,0.029,8.217,,false
M4V,20.0202,0.0185,18.8447,17.5557,0.0061,16.9705,0.0068,16.6938,0.0084,15.474,0.072,14.828,0.073,14.331,0.095,14.059,0.027,13.898,0.037,12.037,,9.001,,false
G5,11.237,,10.909,10.829,,10.831,,10.833,,9.995,0.028,9.661,0.03,9.616,0.019,9.571,0.023,9.625,0.02,9.601,0.036,8.629,,false
F2,8.534,,8.512,8.553,,8.569,,8.581,,7.865,0.023,7.755,0.018,7.702,0.018,7.653,0.03,7.698,0.02,7.689,0.018,7.564,0.148,false
A3,9.692,,9.741,9.831,,9.901,,9.92,,9.271,0.077,9.144,0.03,9.12,0.02,9.084,0.023,9.12,0.02,9.119,0.028,8.982,0.429,false
A5,10.161,,10.211,10.302,,10.371,,10.39,,9.694,0.02,9.625,0.018,9.587,0.02,9.538,0.023,9.548,0.02,9.551,0.039,9.121,,false
A1V,6.893,,7.089,7.276,,7.414,,7.472,,6.849,0.02,6.854,0.042,6.824,0.027,6.777,0.067,6.789,0.022,6.856,0.017,6.693,0.093,false
G,10.333,,10.093,10.031,,10.031,,10.045,,9.228,0.032,8.996,0.026,8.936,0.021,8.892,0.023,8.92,0.018,8.915,0.029,9.081,0.515,false
G,9.9106,0.0611,9.9015,9.9514,0.0426,13.4072,0.002,9.5092,0.15,9.228,0.032,8.996,0.026,8.936,0.021,8.892,0.023,8.92,0.018,8.915,0.029,9.081,0.515,false
M7V,22.0916,0.1463,21.0153,18.8914,0.0103,17.9231,0.0034,17.3597,0.0098,15.927,0.085,15.4,0.089,15.055,0.15,14.735,0.032,14.629,0.06,12.083,,8.456,,false
M6V,22.3662,0.1701,21.2486,19.2044,0.0052,18.247,0.0098,17.729,0.0102,16.439,0.11,15.682,0.125,15.403,0.204,15.159,0.039,14.811,0.083,12.176,,8.973,,false
G5,10.305,,9.847,9.715,,9.68,,9.652,,8.732,0.018,8.315,0.021,8.294,0.02,8.202,0.022,8.265,0.02,8.179,0.023,7.859,0.211,false
G5,12.7135,0.001,13.2919,11.2874,0.001,13.8001,0.0021,11.569,0.1889,8.732,0.018,8.315,0.021,8.294,0.02,8.202,0.022,8.265,0.02,8.179,0.023,7.859,0.211,false
G5,10.9084,0.0359,10.322,9.6406,0.0051,10.2953,0.0028,9.8445,0.1299,8.732,0.018,8.315,0.021,8.294,0.02,8.202,0.022,8.265,0.02,8.179,0.023,7.859,0.211,false
G5,12.43,,12.255,12.227,,12.241,,12.258,0.0039,11.446,0.02,11.283,0.022,11.228,0.02,11.197,0.023,11.221,0.022,11.191,0.152,9.211,,false
M4V,20.2092,0.0049,18.9045,17.5221,0.0078,16.8811,0.005,16.5848,0.0046,15.287,0.041,14.764,0.059,14.433,0.063,14.238,0.028,14.004,0.043,12.699,,9.062,,false
G5,10.739,,10.276,10.057,,9.932,,9.885,,8.937,0.023,8.646,0.021,8.541,0.017,8.473,0.023,8.506,0.019,8.494,0.026,8.093,0.248,false
M0V,17.3742,0.0061,16.294,15.8249,0.0149,15.5553,0.0175,15.5161,0.0811,14.168,0.029,13.531,0.033,13.345,0.045,13.173,0.025,13.215,0.037,11.964,,8.565,,false
K0,11.114,,10.439,10.196,,10.085,,10.003,,8.992,0.021,8.462,0.027,8.346,0.025,8.247,0.022,8.338,0.02,8.23,0.036,8.202,0.406,false
DA+M3,16.3259,0.0095,15.6147,14.6609,0.019,14.1963,0.007,13.9383,0.0064,12.671,0.024,11.996,0.021,11.823,0.023,11.724,0.023,11.618,0.024,10.901,,8.557,,false
G5,8.963,,8.126,7.801,,7.626,,7.507,,6.438,0.024,5.816,0.026,5.696,0.018,5.754,0.137,5.662,0.054,5.692,0.015,5.688,0.068,false
G0,10.097,,9.842,9.762,,9.748,,9.751,,8.909,0.027,8.694,0.019,8.636,0.015,8.574,0.023,8.597,0.02,8.597,0.026,8.468,0.303,false
G0,11.3435,0.0471,10.3816,9.6802,0.0833,9.9377,0.0273,9.9797,0.001,8.909,0.027,8.694,0.019,8.636,0.015,8.574,0.023,8.597,0.02,8.597,0.026,8.468,0.303,false
K0e,11.729,,11.213,11.038,,10.972,,10.93,,9.983,0.026,9.597,0.036,9.479,0.028,9.433,0.029,9.468,0.028,9.365,0.045,7.734,,false
F5,10.53,0.008,9.9242,9.8331,0.0066,10.2747,0.0448,9.9428,0.0166,9.018,0.023,8.753,0.044,8.63,0.017,8.606,0.023,8.638,0.021,8.643,0.028,8.568,0.328,false
F5,10.458,,10.071,9.951,,9.923,,9.909,,9.018,0.023,8.753,0.044,8.63,0.017,8.606,0.023,8.638,0.021,8.643,0.028,8.568,0.328,false
M8,21.222,,21.8557,19.5551,0.0076,18.2834,0.0117,17.5583,0.0137,15.841,0.08,15.286,0.101,14.781,0.092,14.581,0.029,14.32,0.043,12.864,,8.857,,false
B,15.3999,0.0053,15.6271,15.8331,0.0012,15.9738,0.0029,15.9708,0.0043,15.588,0.071,15.449,0.115,15.377,0.164,15.401,0.036,15.404,0.08,12.6,,9.329,,false
G1-5Ib,9.953,,9.215,8.911,,8.743,,8.647,,7.655,0.043,7.149,0.031,6.963,0.017,6.428,0.083,6.133,0.031,5.81,0.015,5.47,0.032,false
M3V,19.1212,0.0212,17.9396,16.8251,0.0144,16.4848,0.0698,16.1212,0.0317,14.559,0.043,13.965,0.038,13.858,0.05,13.467,0.024,13.378,0.032,11.896,,8.682,,false
F2,9.699,,9.526,9.496,,9.51,,9.517,,8.725,0.03,8.548,0.057,8.506,0.019,8.433,0.022,8.464,0.02,8.44,0.024,8.416,,false
G5,10.189,,9.88,9.791,,9.779,,9.781,,8.921,0.02,8.667,0.026,8.585,0.02,8.559,0.022,8.596,0.019,8.568,0.022,8.144,0.252,false
F2,9.274,,9.02,8.942,,8.927,,8.93,,8.099,0.024,7.873,0.029,7.815,0.021,7.765,0.027,7.8,0.02,7.789,0.018,7.764,0.186,false
K2,9.998,,9.262,8.956,,8.788,,8.694,,7.673,0.041,7.136,0.036,7.012,0.02,6.877,0.061,7.012,0.021,6.921,0.016,6.788,0.066,false
K0III,8.6479,0.0107,8.1051,7.2772,0.001,,,7.3276,0.0181,6.149,0.021,5.601,0.031,5.453,0.02,5.442,0.172,5.377,0.061,5.55,0.021,5.323,0.038,false
K0,8.239,,7.5,7.197,,7.027,,6.934,,5.89,0.032,5.383,0.038,5.277,0.02,5.205,0.2,5.142,0.067,5.236,0.015,5.166,0.037,false
F8,10.152,,9.795,9.696,,9.682,,9.675,,8.796,0.02,8.499,0.036,8.434,0.023,8.375,0.023,8.399,0.02,8.363,0.023,8.181,0.21,false
K0III,9.661,,8.928,8.647,,8.501,,8.406,,7.364,0.019,6.885,0.057,6.711,0.029,6.678,0.076,6.693,0.023,6.672,0.016,6.615,0.068,false
M3V,19.2964,0.0152,18.1707,17.0483,0.0026,16.5253,0.004,16.2893,0.0054,15.241,0.043,14.606,0.046,14.42,0.076,14.271,0.028,14.13,0.041,12.411,,8.504,,false
M2V,19.1211,0.0075,17.8932,16.8973,0.0019,16.4487,0.0062,16.2141,0.0072,15.102,0.042,14.518,0.048,14.309,0.068,14.099,0.026,13.998,0.036,12.322,,9.181,,false
K2,11.347,,10.614,10.333,,10.189,,10.093,,9.046,0.022,8.503,0.023,8.383,0.018,8.309,0.023,8.42,0.021,8.294,0.02,8.081,0.218,false
K0,9.626,,8.864,8.562,,8.402,,8.3,,7.24,0.023,6.763,0.061,6.575,0.023,6.506,0.082,6.61,0.021,6.57,0.016,6.429,0.08,false
M3[Swk],8.63,,7.373,6.149,,5.532,,5.177,,4.069,0.192,3.166,0.19,2.768,0.25,2.093,,1.866,,2.845,0.015,2.7,0.02,false
F8,10.687,,10.439,10.39,,10.409,,10.425,,9.587,0.026,9.353,0.023,9.308,0.021,9.262,0.023,9.291,0.02,9.198,0.037,8.43,0.32,false
G0/6V+M0/1V,12.7746,0.001,12.2897,12.5114,0.0795,12.4556,0.0,12.0154,0.0172,11.104,0.022,10.74,0.024,10.652,0.021,10.654,0.023,10.679,0.021,10.642,0.095,8.308,,false
C,14.042,0.0027,13.2322,13.251,,12.906,,12.6736,0.0095,11.548,0.024,11.006,0.022,10.849,0.021,10.782,0.023,10.908,0.021,10.749,0.098,8.855,,false
K1(III),10.3714,0.1179,9.811,9.2221,0.0625,8.9582,0.1088,8.5888,0.0266,7.943,0.023,7.461,0.026,7.333,0.026,7.178,0.038,7.347,0.02,7.292,0.017,7.385,0.115,false
K0III,8.413,,7.71,7.448,,7.321,,7.231,,6.201,0.026,5.711,0.033,5.575,0.021,5.504,0.177,5.424,0.058,5.546,0.014,5.47,0.037,false
G0,10.3409,0.001,9.4771,8.5809,0.2379,11.4805,0.0012,11.5485,0.002,8.9,0.021,8.774,0.021,8.719,0.017,8.686,0.023,8.711,0.02,8.697,0.025,8.23,,false
G0,9.628,,9.586,9.614,,9.626,,9.626,,8.9,0.021,8.774,0.021,8.719,0.017,8.686,0.023,8.711,0.02,8.697,0.025,8.23,,false
M7V,20.8383,0.0316,19.5548,17.6187,0.0076,16.7068,0.0019,16.257,0.0102,14.962,0.043,14.408,0.058,14.07,0.078,13.824,0.027,13.624,0.033,12.227,,8.771,,false
K0III,8.9997,0.0759,8.656,8.252,0.0538,,,7.8737,0.2173,6.898,0.018,6.349,0.04,6.251,0.021,6.194,0.107,6.149,0.031,6.209,0.017,6.103,0.05,false
G2V,10.2148,0.0902,9.007,9.3702,0.0153,9.6993,0.0194,9.5704,0.0861,8.721,0.021,8.489,0.044,8.415,0.023,8.101,0.022,8.093,0.019,8.175,0.024,8.245,0.299,false
K0/1(III),10.258,,9.392,9.045,,8.857,,8.732,,7.655,0.027,7.004,0.031,6.868,0.02,6.687,0.063,6.886,0.02,6.807,0.015,6.932,0.122,false
K0IV,10.038,,9.435,9.201,,9.086,,9.022,,8.015,0.024,7.596,0.038,7.496,0.026,7.33,0.033,7.457,0.024,7.443,0.022,7.322,0.179,false
M3V,20.7434,0.0464,19.6115,18.4147,0.0061,17.8999,0.0056,17.6561,0.0095,16.383,0.114,16.181,0.219,15.524,0.207,15.607,0.042,15.436,0.087,12.989,,8.796,,false
M1V,19.3623,0.0066,18.1687,17.4504,0.0046,17.114,0.0047,16.9252,0.0065,15.859,0.076,15.194,0.09,15.215,0.175,14.744,0.029,14.599,0.047,12.868,0.542,9.236,,false
KIII,16.7311,0.0033,16.1568,15.9075,0.002,15.7909,0.0052,15.7097,0.0037,14.791,0.041,14.181,0.047,14.065,0.074,14.095,0.028,14.097,0.045,12.491,,9.044,,false
KIII,16.771,0.0047,16.2016,15.9498,0.0033,15.8712,0.0066,15.7642,0.0044,14.798,0.04,14.384,0.044,14.33,0.081,14.195,0.028,14.3,0.05,12.253,,8.981,,false
M0,16.7617,0.0062,15.7681,15.1941,0.0027,14.933,0.0062,14.7758,0.008,13.587,0.028,12.997,0.025,12.864,0.037,12.745,0.023,12.764,0.026,11.89,,8.42,,false
F4,16.107,0.004,15.8017,15.6803,0.0036,15.6492,0.0014,15.6381,0.0036,14.825,0.043,14.44,0.05,14.69,0.097,14.328,0.029,14.347,0.053,12.446,,8.809,,false
F8,10.402,,10.178,10.112,,10.092,,10.079,,9.273,0.023,9.072,0.018,8.999,0.019,8.937,0.023,8.969,0.02,8.954,0.024,8.996,0.329,false
G2,10.59,,10.232,10.116,,10.088,,10.081,,9.196,0.02,8.903,0.018,8.834,0.015,8.8,0.023,8.841,0.02,8.781,0.023,9.13,0.385,false
G2,10.6758,0.0235,10.7562,10.8231,0.001,11.8659,0.0498,10.938,0.0126,9.196,0.02,8.903,0.018,8.834,0.015,8.8,0.023,8.841,0.02,8.781,0.023,9.13,0.385,false
K3III,8.449,,7.396,6.953,,6.71,,6.544,,5.397,0.024,4.698,0.076,4.499,0.023,4.377,0.284,4.278,0.162,4.418,0.015,4.336,0.036,false
K0,10.619,,9.883,9.578,,9.409,,9.314,,8.258,0.02,7.728,0.02,7.629,0.021,7.498,0.033,7.635,0.02,7.551,0.016,7.372,0.106,false
F3/5V,8.951,,8.821,8.786,,8.729,,8.741,,7.966,0.021,7.781,0.034,7.769,0.031,7.649,0.03,7.708,0.019,7.704,0.02,7.681,0.175,false
F3IV/V,7.769,,7.557,7.504,,7.501,,7.507,,6.689,0.024,6.528,0.038,6.444,0.021,6.43,0.084,6.365,0.026,6.47,0.015,6.346,0.067,false
M3V,19.258,0.0099,18.1539,16.9093,0.0037,16.3369,0.0024,16.0705,0.0063,14.919,0.047,14.396,0.055,14.196,0.062,14.075,0.028,13.898,0.04,12.223,,9.088,,false
A0.1,15.1569,9.0E-4,15.2108,15.3087,0.0016,15.381,0.0037,15.3764,0.0039,14.744,0.034,14.655,0.049,14.572,0.079,14.545,0.031,14.533,0.054,12.179,,9.041,,false
SNIa,17.7576,0.0793,16.718,17.0736,0.0696,16.6532,0.1211,16.5832,0.0885,14.348,0.078,13.808,0.102,13.521,0.084,12.118,0.023,11.946,0.022,7.728,0.021,5.843,0.048,false
G5,11.203,,10.607,10.361,,10.234,,10.17,,9.187,0.026,8.784,0.028,8.648,0.018,8.603,0.023,8.68,0.02,8.622,0.024,8.245,0.232,false
G2,12.2007,0.0296,12.7154,12.8635,0.0702,10.8742,0.2858,11.2831,,9.416,0.031,9.141,0.031,9.059,0.032,9.018,0.023,9.07,0.02,9.035,0.033,7.93,,false
G2,10.918,,10.541,10.395,,10.336,,10.319,,9.416,0.031,9.141,0.031,9.059,0.032,9.018,0.023,9.07,0.02,9.035,0.033,7.93,,false
K0,10.621,,10.234,10.114,,10.086,,10.071,,9.186,0.024,8.864,0.028,8.789,0.02,8.759,0.023,8.8,0.021,8.752,0.026,8.802,0.428,false
K0,10.9508,0.0068,10.5096,10.4685,0.0163,11.4492,0.1623,10.9977,0.2474,9.186,0.024,8.864,0.028,8.789,0.02,8.759,0.023,8.8,0.021,8.752,0.026,8.802,0.428,false
G0V:,13.029,,12.494,12.274,,12.166,,12.0742,0.0035,11.157,0.02,10.757,0.016,10.684,0.017,10.626,0.023,10.676,0.02,10.509,0.08,8.639,,false
G8V:,12.479,,11.975,11.777,,11.684,,11.642,,10.697,0.02,10.325,0.016,10.228,0.016,10.198,0.022,10.254,0.02,10.336,0.062,9.095,,false
F8:,11.376,,11.06,10.954,,10.925,,10.923,,10.052,0.023,9.81,0.024,9.725,0.02,9.697,0.022,9.731,0.02,9.665,0.042,8.642,,false
F8,11.446,,11.159,11.074,,11.06,,11.064,,10.216,0.02,9.957,0.016,9.902,0.018,9.88,0.024,9.917,0.021,9.949,0.055,8.733,,false
M3V,18.914,0.0056,17.6872,16.6107,0.0033,16.1384,0.0024,15.8957,0.0034,14.659,0.032,14.089,0.042,13.823,0.048,13.809,0.027,13.667,0.035,12.569,0.529,9.128,,false
K1(III),10.479,,9.64,9.246,,9.005,,8.885,,7.769,0.019,7.252,0.026,7.076,0.026,6.962,0.054,7.116,0.02,7.029,0.017,6.96,0.081,false
F2,9.461,,9.248,9.194,,9.194,,9.199,,8.381,0.026,8.191,0.02,8.123,0.024,8.065,0.023,8.085,0.021,8.079,0.019,7.994,0.174,false
M0-3e,12.545,,10.81,9.661,,8.779,,8.484,,6.853,0.023,6.171,0.021,5.826,0.029,5.697,0.149,5.085,0.078,4.622,0.014,4.087,0.022,false
K2,10.229,,9.505,9.192,,9.015,,8.923,,7.878,0.021,7.367,0.017,7.26,0.021,7.113,0.044,7.276,0.019,7.192,0.018,7.199,0.104,false
