SpT,PS1gmag,e_PS1gmag,PS1rmag,PS1imag,e_PS1imag,PS1zmag,e_PS1zmag,PS1ymag,e_PS1ymag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,label
L0,,,21.42,19.35,0.01,17.9,0.01,16.92,0.01,15.21,0.04,14.48,0.06,13.96,0.06,13.63,0.03,13.34,0.03,12.81,0.51,9.2,,true
L5,,,21.67,19.71,0.01,18.08,0.01,17.03,0.01,14.83,0.04,13.76,0.04,13.14,0.04,12.56,0.02,12.21,0.02,11.98,0.23,8.76,,true
L6,,,,,,19.14,0.01,18.07,0.03,15.96,0.09,14.99,0.09,14.32,0.09,,,,,,,,,true
T6,,,,,,22.08,0.14,20.46,0.11,,,,,,,,,,,,,,,true
L5:,,,,,,20.94,0.2,19.8,0.04,16.86,,16.52,0.24,16.08,0.32,15.41,0.04,14.97,0.08,12.27,,9.17,,true
T5,,,,,,,,20.62,0.07,,,,,,,17.78,0.2,16.81,0.34,12.78,,9.1,,true
L5,,,,20.75,0.03,19.0,0.01,17.93,0.01,15.68,0.06,14.45,0.04,13.67,0.04,12.94,0.02,12.56,0.02,11.82,0.23,8.63,,true
T1,,,,,,,,20.17,0.06,,,,,,,16.25,0.06,15.3,0.09,12.23,,8.75,,true
L7,,,,19.91,0.02,17.66,0.01,16.65,0.01,14.59,0.03,13.57,0.03,13.0,0.03,12.23,0.02,11.78,0.02,10.77,0.09,8.53,,true
L3,,,,20.81,0.02,19.26,0.02,18.23,0.02,16.03,0.08,15.17,0.08,14.36,0.08,14.02,0.03,13.68,0.03,12.34,,9.23,,true
L0.5,,,,,,20.74,0.04,19.68,0.05,,,,,,,16.54,0.08,16.33,0.22,12.55,,8.95,,true
L4.5blue,,,,21.58,0.15,19.67,0.03,18.62,0.02,16.56,0.11,15.54,0.13,15.16,0.13,14.27,0.03,13.82,0.04,12.54,,8.82,,true
T5.5,,,,,,,,19.59,0.05,,,,,,,16.49,0.07,14.74,0.07,11.99,,9.01,,true
L8(red),,,,,,19.73,0.05,18.71,0.03,16.53,0.11,15.1,0.08,14.52,0.08,13.42,0.03,12.83,0.03,11.17,0.2,8.74,,true
L3,,,21.92,19.73,0.03,18.43,0.02,17.46,0.02,15.46,0.05,14.47,0.05,13.81,0.05,13.49,0.02,13.26,0.03,12.71,,9.31,,true
T4.5,,,,,,21.0,0.05,19.37,0.04,16.8,0.16,16.4,,15.41,,16.3,0.06,15.05,0.07,12.55,,8.9,,true
L1,,,20.84,18.36,0.01,16.92,0.01,15.95,0.01,13.99,0.03,13.11,0.03,12.59,0.03,12.19,0.02,11.96,0.02,11.11,,8.7,,true
L5,,,,20.77,0.03,18.99,0.02,17.97,0.03,15.71,0.06,14.56,0.05,13.87,0.05,13.3,0.02,13.0,0.03,12.38,0.47,8.53,,true
L5,,,,21.23,0.02,19.29,0.02,18.29,0.02,16.21,0.09,14.97,0.07,14.41,0.07,13.69,0.03,13.28,0.03,11.4,,8.72,,true
T4.5,,,,,,20.79,0.02,19.1,0.02,16.77,0.19,16.06,0.18,15.88,,16.33,0.06,14.73,0.05,12.5,,8.56,,true
L0gamma,,,,19.64,0.02,18.13,0.01,17.08,0.01,15.07,0.05,14.16,0.04,13.5,0.04,13.03,0.03,12.68,0.03,11.93,0.29,9.06,,true
L1,,,22.68,20.44,0.03,19.04,0.02,18.09,0.01,16.13,0.08,15.42,0.12,15.01,0.12,14.58,0.03,14.38,0.05,11.88,,8.87,,true
L0,,,,21.48,0.08,19.89,0.01,18.94,0.03,,,,,,,15.39,0.04,15.2,0.11,12.2,,8.81,,true
T3,,,,22.07,0.14,19.22,0.03,17.57,0.01,15.3,0.53,14.77,0.62,14.77,0.12,14.2,0.12,13.43,0.13,,,,,true
